C_2ba58216460d43aa986fc0e897537239_0_q#0	team | unitas | colts
C_2ba58216460d43aa986fc0e897537239_0_q#1	games | colts | colts | victories | record
C_2ba58216460d43aa986fc0e897537239_0_q#2	colts | playoffs | cleveland | browns
C_2ba58216460d43aa986fc0e897537239_0_q#3	colts | bowl
C_2ba58216460d43aa986fc0e897537239_0_q#4	colts | bowl | packers
C_2ba58216460d43aa986fc0e897537239_0_q#5	unitas | stats | gary | cuozzo | season | injury
C_ae269bdc0d524b599736eb69a322d5b1_1_q#0	mark | taylor | taylor | years | wagga | wagga
C_ae269bdc0d524b599736eb69a322d5b1_1_q#1	mark | taylor | taylor | rules | football | cricket | family | garage | father | cork | balls
C_ae269bdc0d524b599736eb69a322d5b1_1_q#2	aspects | addition | article | taylor | school | opening | batsman | century | age | lake | albert | club | bolton | park | wagga
C_ae269bdc0d524b599736eb69a322d5b1_1_q#3	mark | taylor | awards
C_ae269bdc0d524b599736eb69a322d5b1_1_q#4	mark | taylor | championships | school | twins | steve | mark | taylor | under-19 | youth | internationals | australia | sri | lanka
C_ae269bdc0d524b599736eb69a322d5b1_1_q#5	jobs | taylor | work | surveyor | degree | surveying
C_ae269bdc0d524b599736eb69a322d5b1_1_q#6	mark | taylor | college | university | new | wales
C_ae269bdc0d524b599736eb69a322d5b1_1_q#7	taylor | graduate | degree | surveying
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#0	gautam | gambhir | premier | league | post | captain | daredevils | ipl | season
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#1	gautam | captain | end | tournament | player | delhi | daredevils | runs | ipl
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#2	gautam | gambhir | records | runs | ipl | gambhir | run | scorer | kolkata | knight | riders
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#3	awards
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#4	aspects | article | gautam | record | january | ipl | auction | daredevils | crore
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#5	gautam | teams | daredevils | kolkata | knight | rider | ceo | mysore | gambhir | team | ipl | career
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#0	steve | young | games | montana | backup | montana | quarter | game | chicago | bears | touchdown | passes
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#1	montana | game | chicago | bears | victory
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#2	steve | young | games | one | chicago | bears | montana | half | team | 49ers | game | performance
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#3	49ers | game | score | minnesota | vikings
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#4	minnesota | vikings | game | montana
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#5	game | minnesota | vikings | 49ers | stadium | vikings | stadium
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#6	49ers | period | play | 49ers | victory | bit | revenge | vikings | season | playoff | loss
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#7	minnesota | vikings | bowl | steve | young | montana | nfl | mvp | award | team | victory | bowl | xxiv | young | season
C_44cfa9f1a9614dc1970959a59917acbd_1_q#0	colour | shape | album
C_44cfa9f1a9614dc1970959a59917acbd_1_q#1	album | colour | shape | album | singles | monkey | wrench | everlong | hero
C_44cfa9f1a9614dc1970959a59917acbd_1_q#2	colour | shape | album | tour | colour | shape | album | stage | performance | glastonbury | festival
C_44cfa9f1a9614dc1970959a59917acbd_1_q#3	aspects | article | colour | shape | lover | horror | film | scream
C_44cfa9f1a9614dc1970959a59917acbd_1_q#4	songs | films | lover | x | - | files | a320 | godzilla | b | side | hero
C_44cfa9f1a9614dc1970959a59917acbd_1_q#5	others | songs | films | lover | x | - | files | a320
C_f615186a82b8421aacb4ca18fca24b42_0_q#0	robson | robson | football | association | tours | west | indies | south | africa
C_f615186a82b8421aacb4ca18fca24b42_0_q#1	south | africa | robson | debut | november | victory | france
C_f615186a82b8421aacb4ca18fca24b42_0_q#2	robson | england | national | team
C_f615186a82b8421aacb4ca18fca24b42_0_q#3	team | robson | england
C_f615186a82b8421aacb4ca18fca24b42_0_q#4	robson | england
C_c50f120990f34e0cb4e97ecfbab870af_1_q#0	form | dancing | era | icons | example | dancing | gods | goddesses
C_c50f120990f34e0cb4e97ecfbab870af_1_q#1	form | dancing | era | evidence | states | alexandra | carter | odissi | maharis | hindu | temple | dancers | dance | architecture | nata | mandap | vogue
C_c50f120990f34e0cb4e97ecfbab870af_1_q#2	odissi | dancer | era
C_c50f120990f34e0cb4e97ecfbab870af_1_q#3	odissi | dancing | era | odissi | parts | india | odisha | era
C_c50f120990f34e0cb4e97ecfbab870af_1_q#4	source | income | era | performers
C_c50f120990f34e0cb4e97ecfbab870af_1_q#5	era | form | dancing | services
C_c50f120990f34e0cb4e97ecfbab870af_1_q#6	arenas | performers | era | odissi | temples | dancers | maharis
C_ca2198202da140e28165132567967682_1_q#0	information | winter | sky | island | enya | seventh | studio | album | winter
C_ca2198202da140e28165132567967682_1_q#1	enya | name | music | group | studio | album
C_ca2198202da140e28165132567967682_1_q#2	making | album | winter | sky | island | album | songs | hymns | release | winter | album
C_ca2198202da140e28165132567967682_1_q#3	enya | winter | album | popular | no | . | uk | . | copies
C_ca2198202da140e28165132567967682_1_q#4	enya | winter | album | success | winter | enya | break | writing | recording | music
C_ca2198202da140e28165132567967682_1_q#5	enya | break | winter | time | family | australia | home | south | france
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#0	hillary | clinton | chicago
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#1	hillary | clinton | chicago | chicago | suburb | park | ridge
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#2	hillary | clinton | parents | living | textile | business
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#3	hillary | clinton | siblings | clinton | brothers
C_55326ebad6b0415ea8430f68d8c986f4_1_q#0	havelock | ellis | view | impulse | youth | book | detail | children | sexuality | terms | time | intensity
